입학년도,교과군,과목명,과목유형,선택규칙,학점,1-1학기,1-2학기,2-1학기,2-2학기,3-1학기,3-2학기
2025,수학,기하,진로선택,택4(3),3,,,○,,,
2025,사회,한국지리 탐구,진로선택,택4(3),3,,,○,,,
2025,사회,사회와 문화,일반선택,택4(3),3,,,○,,,
2025,사회,세계사,일반선택,택4(3),3,,,○,,,
2025,사회,윤리와 사상,진로선택,택4(3),3,,,○,,,
2025,사회,법과 사회,진로선택,택4(3),3,,,○,,,
2025,과학,물리학,일반선택,택4(3),3,,,○,,,
2025,과학,화학,일반선택,택4(3),3,,,○,,,
2025,과학,생명과학,일반선택,택4(3),3,,,○,,,
2025,과학,지구과학,일반선택,택4(3),3,,,○,,,
2025,제2외국어/한문,중국어,일반선택,택1(3),3,,,○,,,
2025,제2외국어/한문,일본어,일반선택,택1(3),3,,,○,,,
2025,제2외국어/한문,한문,일반선택,택1(3),3,,,○,,,
2025,제2외국어/한문,중국어 회화,진로선택,택1(3),3,,,,○,,
2025,제2외국어/한문,일본어 회화,진로선택,택1(3),3,,,,○,,
2025,제2외국어/한문,언어생활과 한자,융합선택,택1(3),3,,,,○,,
2025,국어,주제 탐구 독서,진로선택,택4(3),3,,,,○,,
2025,수학,인공지능 수학,진로선택,택4(3),3,,,,○,,
2025,수학,경제 수학,진로선택,택4(3),3,,,,○,,
2025,영어,세계 문화와 영어,융합선택,택4(3),3,,,,○,,
2025,사회,동아시아 역사 기행,진로선택,택4(3),3,,,,○,,
2025,사회,현대사회와 윤리,일반선택,택4(3),3,,,,○,,
2025,사회,세계시민과 지리,일반선택,택4(3),3,,,,○,,
2025,사회,경제,진로선택,택4(3),3,,,,○,,
2025,사회,정치,진로선택,택4(3),3,,,,○,,
2025,과학,역학과 에너지,진로선택,택4(3),3,,,,○,,
2025,과학,물질과 에너지,진로선택,택4(3),3,,,,○,,
2025,과학,세포와 물질대사,진로선택,택4(3),3,,,,○,,
2025,과학,지구시스템과학,진로선택,택4(3),3,,,,○,,
2025,국어,문학과 영상,진로선택,택4(3),3,,,,,○,
2025,수학,미적분Ⅱ,진로선택,택4(3),3,,,,,○,
2025,수학,고급 대수,진로선택,택4(3),3,,,,,○,
2025,영어,영미 문학 읽기,진로선택,택4(3),3,,,,,○,
2025,사회,역사로 탐구하는 현대 세계,융합선택,택4(3),3,,,,,○,
2025,사회,여행지리,융합선택,택4(3),3,,,,,○,
2025,사회,사회문제 탐구,융합선택,택4(3),3,,,,,○,
2025,사회,윤리문제 탐구,융합선택,택4(3),3,,,,,○,
2025,과학,전자기와 양자,진로선택,택4(3),3,,,,,○,
2025,과학,화학 반응의 세계,진로선택,택4(3),3,,,,,○,
2025,과학,생물의 유전,진로선택,택4(3),3,,,,,○,
2025,과학,행성우주과학,진로선택,택4(3),3,,,,,○,
2025,과학,융합과학 탐구,융합선택,택4(3),3,,,,,○,
2025,과학,고급 물리학,진로선택,택4(3),3,,,,,○,
